confidence_score,citation_score,perplexity,hallucination_label
0.4548,0.6586,8.21,1
0.2648,0.885,27.3,1
0.1899,0.1494,7.13,1
0.4078,0.6507,15.14,1
0.7378,0.9532,6.84,0
0.771,0.4528,10.43,0
0.3686,0.4571,14.09,1
0.7129,0.8364,5.14,0
0.5764,0.9377,15.61,0
0.2642,0.8722,10.56,1
0.2739,0.7349,15.35,1
0.7081,0.583,17.76,0
0.3266,0.2255,8.64,1
0.8667,0.4923,15.78,0
0.6568,0.719,19.81,0
0.8808,0.7102,22.35,0
0.644,0.7689,15.15,0
0.4595,0.7665,10.46,0
0.6037,0.5574,19.84,0
0.6576,0.7931,8.45,0
0.514,0.5839,16.8,0
0.873,0.3079,12.18,1
0.476,0.7056,23.59,0
0.432,0.6695,13.5,1
0.2888,0.7751,8.0,1
0.5738,0.4271,7.38,1
0.5534,0.8872,15.73,0
0.2593,0.7534,14.23,1
0.9257,0.4625,4.81,0
0.3937,0.5246,38.53,1
0.6597,0.5796,13.41,0
0.6387,0.4341,15.55,1
0.5236,0.8003,21.32,0
0.7663,0.6281,15.76,0
0.4672,0.4552,6.92,1
0.3984,0.7412,12.0,1
0.4952,0.4508,7.32,1
0.8061,0.4133,8.08,0
0.1666,0.0954,10.88,1
0.6517,0.9465,15.03,0
0.892,0.5456,11.53,0
0.7291,0.5677,7.62,0
0.7641,0.6546,0.74,0
0.1772,0.2007,26.19,1
0.7986,0.752,19.79,0
0.5095,0.5989,17.61,0
0.4128,0.6414,6.72,1
0.599,0.43,10.62,1
0.4581,0.233,7.91,1
0.4479,0.9257,6.58,0
0.5682,0.7758,13.65,0
0.416,0.2197,12.03,1
0.7324,0.1197,19.76,1
0.5663,0.3294,10.96,1
0.5933,0.6619,6.08,0
0.7749,0.4348,38.72,0
0.2125,0.7904,10.75,1
0.7022,0.923,20.09,0
0.7239,0.6413,10.99,0
0.9243,0.804,11.57,0
0.6503,0.8304,9.82,0
0.2456,0.4044,8.42,1
0.1325,0.3975,8.55,1
0.4057,0.2184,16.63,1
0.5708,0.6456,12.85,0
0.386,0.6881,11.2,1
0.6314,0.4129,13.67,1
0.7454,0.706,27.62,0
0.1993,0.71,47.4,1
0.7693,0.4346,2.76,0
0.5885,0.842,28.14,0
0.5206,0.3831,26.07,1
0.7722,0.7644,30.2,0
0.8192,0.4757,6.9,0
0.4315,0.7047,6.26,0
0.6704,0.6902,21.65,0
0.879,0.952,9.19,0
0.4351,0.5656,9.8,1
0.7427,0.2291,7.21,1
0.1046,0.5405,7.14,1
0.6051,0.5081,10.44,0
0.2258,0.6439,15.82,1
0.1302,0.4611,28.41,1
0.6262,0.5794,23.93,0
0.2988,0.7245,3.6,1
0.2236,0.608,22.9,1
0.4214,0.2075,13.63,1
0.4941,0.5663,13.34,1
0.6554,0.6165,15.38,0
0.5293,0.8883,19.0,0
0.7417,0.507,12.79,0
0.1986,0.5315,18.58,1
0.7123,0.6112,18.39,0
0.3071,0.8443,15.03,1
0.3445,0.5158,6.74,1
0.6313,0.8615,15.13,0
0.3563,0.5034,28.06,1
0.8212,0.2724,33.6,1
0.7746,0.6274,17.17,0
0.3598,0.6174,32.3,1
0.3965,0.6797,8.78,1
0.6049,0.7087,19.27,0
0.5002,0.535,24.66,1
0.7252,0.5445,11.25,0
0.1327,0.3531,30.25,1
0.7511,0.7802,29.78,0
0.3825,0.5142,12.83,1
0.3369,0.4331,8.73,1
0.7214,0.7506,8.21,0
0.1112,0.6018,14.85,1
0.6823,0.7842,13.6,0
0.7794,0.5343,13.46,0
0.6311,0.7693,13.87,0
0.4303,0.6412,7.71,1
0.5017,0.76,4.14,0
0.5728,0.4735,24.96,1
0.7263,0.687,13.35,0
0.4214,0.5195,25.08,1
0.7455,0.5767,4.01,0
0.4966,0.1699,4.92,1
0.4369,0.5545,13.85,1
0.5838,0.3227,18.89,1
0.6584,0.5036,22.8,0
0.7207,0.2824,4.54,1
0.3204,0.8674,10.01,1
0.8313,0.4353,15.53,0
0.4289,0.639,8.27,1
0.5714,0.8706,9.54,0
0.6638,0.6974,18.57,0
0.1802,0.1203,3.5,1
0.511,0.6899,6.26,0
0.6431,0.3148,20.17,1
0.3798,0.9639,12.09,0
0.6449,0.6075,8.19,0
0.6531,0.8252,6.03,0
0.3306,0.8738,11.71,1
0.7493,0.6297,11.29,0
0.4827,0.7926,27.45,0
0.7092,0.9341,13.53,0
0.2346,0.276,2.44,1
0.5409,0.4573,15.09,1
0.5713,0.6401,14.7,0
0.9115,0.7361,38.18,0
0.0768,0.3675,8.11,1
0.6667,0.3836,27.29,1
0.4713,0.6003,26.56,1
0.2951,0.7589,9.38,1
0.4191,0.5873,9.47,1
0.6734,0.3452,3.34,1
0.7322,0.4649,16.78,0
0.6351,0.2344,17.9,1
0.1808,0.6008,17.27,1
0.8414,0.5123,9.37,0
0.4283,0.8009,24.35,0
0.1643,0.5019,11.59,1
0.4969,0.2518,4.91,1
0.4553,0.7551,15.61,0
0.535,0.9587,22.12,0
0.6925,0.6107,11.28,0
0.8343,0.6594,15.72,0
0.4136,0.4785,19.1,1
0.8683,0.4396,14.58,0
0.3329,0.3434,13.33,1
0.5689,0.8067,20.09,0
0.5538,0.5024,8.35,1
0.6467,0.5202,16.97,0
0.5522,0.2831,15.89,1
0.6603,0.3425,16.19,1
0.474,0.3426,7.49,1
0.8334,0.8245,29.22,0
0.5256,0.2611,11.89,1
0.6829,0.5529,13.32,0
0.4231,0.7384,16.58,0
0.5037,0.6344,34.95,0
0.403,0.5884,23.19,1
0.1792,0.5949,16.21,1
0.2965,0.7878,10.7,1
0.2275,0.3381,49.18,1
0.4606,0.3071,13.64,1
0.2525,0.8504,13.54,1
0.6402,0.4078,11.22,1
0.5505,0.6229,5.2,0
0.5985,0.5648,14.32,0
0.5969,0.712,23.89,0
0.8491,0.4192,16.0,0
0.5316,0.395,21.01,1
0.3489,0.4597,22.32,1
0.1656,0.4584,10.25,1
0.6808,0.2218,15.76,1
0.3045,0.6651,19.01,1
0.5656,0.2786,19.07,1
0.5552,0.4433,3.08,1
0.7804,0.6556,28.36,0
0.719,0.4439,7.7,0
0.528,0.5201,19.42,1
0.303,0.3009,23.76,1
0.7303,0.8624,6.53,0
0.3573,0.2737,17.02,1
0.622,0.2911,20.78,1
0.2565,0.4259,9.71,1
0.6315,0.5333,26.65,0
0.7442,0.3609,7.31,1
0.6684,0.6089,13.8,0
0.2524,0.2868,11.35,1
0.8248,0.6949,20.92,0
0.7119,0.5731,10.67,0
0.7131,0.7463,11.11,0
0.5109,0.8745,10.95,0
0.6632,0.5254,26.67,0
0.8061,0.7524,20.19,0
0.3765,0.9378,17.73,0
0.5374,0.4309,8.41,1
0.8215,0.7877,26.71,0
0.7015,0.3919,41.58,1
0.7278,0.5302,6.47,0
0.6139,0.5402,38.52,0
0.3464,0.9338,9.92,0
0.4635,0.4292,13.6,1
0.3503,0.7339,12.13,1
0.6788,0.3524,15.39,1
0.4618,0.8492,13.38,0
0.5338,0.5063,10.04,1
0.7219,0.6074,17.15,0
0.3549,0.6139,13.32,1
0.9407,0.631,8.44,0
0.5346,0.5579,2.58,1
0.6226,0.6512,23.27,0
0.4846,0.4181,18.09,1
0.4655,0.3619,8.07,1
0.6231,0.2959,5.92,1
0.9606,0.7262,8.81,0
0.4912,0.3832,13.19,1
0.2634,0.6137,17.26,1
0.1777,0.2727,9.0,1
0.0914,0.879,20.58,1
0.5507,0.9585,10.49,0
0.1531,0.6164,19.39,1
0.4735,0.4066,5.86,1
0.2038,0.1333,7.69,1
0.7497,0.4285,17.23,0
0.6918,0.6106,14.21,0
0.6135,0.7997,25.34,0
0.3681,0.4115,33.11,1
0.5635,0.6392,12.12,0
0.5677,0.4667,4.26,1
0.4351,0.5779,17.78,1
0.5062,0.7188,4.96,0
0.3974,0.4332,26.63,1
0.26,0.8559,20.94,1
0.4396,0.3808,9.38,1
0.7501,0.203,23.98,1
0.2557,0.6679,7.65,1
0.3452,0.7184,19.83,1
0.3599,0.4838,10.26,1
0.7055,0.8458,29.37,0
0.3703,0.3302,24.66,1
0.2522,0.5857,19.63,1
0.8307,0.7164,28.07,0
0.5529,0.7723,5.86,0
0.7168,0.3357,22.77,1
0.5902,0.5486,18.59,0
0.5111,0.7181,12.08,0
0.5524,0.2889,11.86,1
0.4224,0.7972,13.0,0
0.455,0.4989,8.89,1
0.704,0.4052,5.72,1
0.3715,0.3887,7.02,1
0.549,0.3992,8.79,1
0.5719,0.6246,8.32,0
0.7367,0.7411,12.37,0
0.3825,0.5035,5.45,1
0.5512,0.7183,19.7,0
0.4637,0.8095,23.09,0
0.1553,0.7847,6.73,1
0.749,0.3751,8.56,1
0.6422,0.1698,12.85,1
0.5005,0.3506,18.76,1
0.6713,0.5078,23.24,0
0.2616,0.8753,8.4,1
0.3126,0.8074,6.88,1
0.7805,0.9413,15.93,0
0.4665,0.4246,19.37,1
0.2744,0.4791,15.65,1
0.147,0.8292,7.32,1
0.1503,0.64,15.07,1
0.7148,0.6619,7.45,0
0.6215,0.5057,14.63,0
0.8222,0.5767,5.36,0
0.3511,0.633,5.68,1
0.1492,0.6822,19.05,1
0.1874,0.503,24.77,1
0.5735,0.2538,9.03,1
0.8129,0.7739,24.82,0
0.3758,0.3603,11.66,1
0.913,0.8394,19.88,0
0.2287,0.48,19.43,1
0.4068,0.7385,11.17,0
0.1735,0.875,18.05,1
0.1699,0.8202,10.35,1
0.2372,0.851,12.0,1
0.3447,0.5238,18.97,1
0.3962,0.208,11.98,1
0.6832,0.7989,16.04,0
0.4087,0.6078,27.82,1
0.1045,0.2141,14.95,1
0.1525,0.5424,19.46,1
0.1132,0.5546,8.63,1
0.4649,0.524,18.32,1
0.6024,0.8095,13.76,0
0.4312,0.6013,7.65,1
0.4746,0.3815,2.58,1
0.2751,0.5565,6.81,1
0.3742,0.6576,15.26,1
0.3733,0.1472,18.72,1
0.7994,0.3019,21.49,1
0.7607,0.2161,10.02,1
0.2648,0.3881,12.15,1
0.1293,0.9638,14.74,1
0.252,0.4112,12.88,1
0.1303,0.2233,16.06,1
0.4798,0.6672,15.43,0
0.6443,0.5974,5.15,0
0.446,0.6648,26.07,1
0.587,0.817,3.84,0
0.6753,0.9174,28.4,0
0.6968,0.62,16.4,0
0.2531,0.8557,6.51,1
0.1823,0.5171,29.2,1
0.079,0.8993,18.29,1
0.315,0.5349,12.45,1
0.562,0.5731,8.17,0
0.8017,0.528,16.69,0
0.4511,0.5729,7.85,1
0.7214,0.2138,22.72,1
0.619,0.8199,8.36,0
0.4063,0.3267,17.54,1
0.5677,0.1022,5.54,1
0.3505,0.7444,10.25,1
0.4975,0.5506,8.05,1
0.2156,0.7874,21.8,1
0.3773,0.348,9.02,1
0.1218,0.6281,23.51,1
0.3316,0.3439,34.99,1
0.7922,0.8232,24.7,0
0.6865,0.5818,15.31,0
0.5435,0.2306,7.14,1
0.8942,0.8318,6.93,0
0.2299,0.3931,10.15,1
0.4512,0.7728,11.77,0
0.3815,0.6232,26.46,1
0.2958,0.3014,11.83,1
0.2748,0.6488,11.07,1
0.4511,0.9573,21.47,0
0.2917,0.5946,9.94,1
0.6347,0.8558,14.3,0
0.9034,0.6477,4.39,0
0.8815,0.231,8.24,1
0.825,0.3615,13.67,1
0.0521,0.7679,15.09,1
0.3083,0.5696,9.93,1
0.179,0.7173,7.15,1
0.6439,0.8206,3.32,0
0.5419,0.8257,12.93,0
0.4698,0.8501,27.09,0
0.6016,0.3633,20.34,1
0.4835,0.6011,19.78,1
0.7061,0.5231,11.32,0
0.1258,0.7728,6.37,1
0.6618,0.7921,16.26,0
0.5867,0.6155,15.82,0
0.3329,0.7543,11.52,1
0.6099,0.7074,14.43,0
0.8162,0.8531,8.79,0
0.5386,0.2018,23.68,1
0.8994,0.7241,21.14,0
0.7946,0.9654,16.34,0
0.8706,0.5244,8.95,0
0.4535,0.9144,9.14,0
0.2597,0.4194,25.96,1
0.8822,0.3624,14.79,0
0.5942,0.808,23.12,0
0.5198,0.6674,28.66,0
0.3521,0.4364,7.78,1
0.4392,0.4149,22.4,1
0.5346,0.6755,16.56,0
0.17,0.8594,36.15,1
0.8902,0.8285,0.69,0
0.2075,0.4821,17.91,1
0.3779,0.4437,19.41,1
0.5846,0.4544,17.64,1
0.7708,0.3824,45.1,1
0.5361,0.3455,9.07,1
0.1394,0.4125,14.82,1
0.6185,0.7673,12.52,0
0.031,0.6649,12.39,1
0.4027,0.4706,5.73,1
0.0659,0.7668,23.49,1
0.1162,0.5646,14.82,1
0.1038,0.8068,7.11,1
0.5701,0.6529,9.95,0
0.4642,0.7102,21.12,0
0.7813,0.2628,11.24,1
0.7546,0.3324,17.46,1
0.9442,0.8404,13.18,0
0.8048,0.8348,9.82,0
0.1752,0.3329,12.25,1
0.5232,0.7182,9.72,0
0.782,0.8905,14.74,0
0.6542,0.8742,15.82,0
0.74,0.0776,3.9,1
0.4231,0.838,25.79,0
0.522,0.5234,31.42,1
0.7679,0.8456,17.25,0
0.4125,0.4091,12.85,1
0.7807,0.3984,14.99,0
0.8134,0.8627,8.73,0
0.3418,0.3075,7.79,1
0.2895,0.7094,3.85,1
0.8732,0.4265,5.57,0
0.2057,0.9043,19.24,1
0.7094,0.7887,10.79,0
0.3114,0.6705,21.24,1
0.4193,0.8228,17.41,0
0.5863,0.5383,15.01,0
0.3981,0.8562,8.98,0
0.5189,0.7299,21.7,0
0.1128,0.9511,8.14,1
0.8043,0.3376,12.94,1
0.5585,0.5276,7.13,1
0.9683,0.573,6.94,0
0.218,0.1446,19.44,1
0.2971,0.4967,4.94,1
0.7331,0.5545,17.62,0
0.5811,0.5796,16.96,0
0.7251,0.8986,10.28,0
0.1292,0.3961,10.44,1
0.7,0.7655,2.41,0
0.4905,0.216,7.81,1
0.2419,0.8527,16.35,1
0.8424,0.3873,27.6,0
0.5809,0.8136,29.63,0
0.6166,0.5378,20.03,0
0.7815,0.5216,9.4,0
0.2179,0.3972,9.05,1
0.3513,0.3598,17.38,1
0.2468,0.3845,19.45,1
0.2268,0.7172,12.87,1
0.4853,0.493,10.39,1
0.9201,0.4362,8.32,0
0.338,0.7917,5.67,1
0.5623,0.5234,14.61,1
0.3455,0.7529,29.69,1
0.8224,0.781,19.47,0
0.8382,0.4186,4.39,0
0.3821,0.7278,12.41,1
0.6098,0.393,8.22,1
0.3834,0.7913,16.59,0
0.4022,0.6081,23.88,1
0.7389,0.2319,15.03,1
0.1605,0.6081,9.84,1
0.7925,0.851,23.94,0
0.2499,0.4793,18.11,1
0.7767,0.6637,9.54,0
0.7898,0.8941,17.05,0
0.813,0.852,13.5,0
0.2356,0.4244,40.32,1
0.5824,0.8722,22.15,0
0.2137,0.5301,16.53,1
0.373,0.6518,6.7,1
0.1861,0.7823,17.28,1
0.3262,0.4223,9.84,1
0.317,0.4305,10.67,1
0.774,0.6594,6.67,0
0.6996,0.657,5.6,0
0.3463,0.2578,11.37,1
0.5575,0.5931,2.11,0
0.4915,0.3581,8.98,1
0.4782,0.9076,8.67,0
0.2363,0.6723,9.27,1
0.4663,0.3505,24.25,1
0.8088,0.6516,9.86,0
0.4425,0.8998,3.07,0
0.5797,0.4637,5.25,1
0.662,0.7172,14.94,0
0.3513,0.5226,13.07,1
0.2067,0.4231,9.24,1
0.6967,0.4083,21.91,1
0.5133,0.4797,11.03,1
0.2312,0.4885,11.22,1
0.5657,0.7807,10.24,0
0.6278,0.4735,23.04,1
0.1273,0.7813,17.57,1
0.4848,0.4882,25.95,1
0.1202,0.4714,23.25,1
0.1346,0.8074,14.77,1
0.7694,0.2983,15.14,1
0.2679,0.7778,29.82,1
0.386,0.6218,10.84,1
0.1672,0.6418,5.04,1
0.6972,0.4529,19.7,0
0.2005,0.4706,23.33,1
0.5952,0.2937,18.19,1
0.6694,0.2101,5.95,1
0.1885,0.4858,22.01,1
0.7024,0.3539,20.01,1
0.1947,0.9613,16.81,1
0.6535,0.6628,9.83,0
0.6285,0.6224,9.94,0
0.6387,0.634,7.33,0
0.481,0.7852,12.13,0
0.5095,0.5417,10.66,1
0.5794,0.1717,21.83,1
0.2054,0.9271,12.17,1
0.6746,0.4964,7.88,0
0.6841,0.5446,7.83,0
0.4187,0.9198,9.26,0
0.5747,0.7722,8.17,0
0.4367,0.5894,6.27,1
0.4498,0.2347,9.19,1
0.2468,0.3487,10.75,1
0.6076,0.2691,6.56,1
0.183,0.8358,6.83,1
0.6568,0.4643,29.81,0
0.2935,0.4049,44.42,1
0.3799,0.8794,12.29,0
0.9049,0.858,41.01,0
0.3828,0.9149,29.38,0
0.489,0.8403,10.03,0
0.2115,0.4587,15.98,1
0.8173,0.425,6.06,0
0.1453,0.4638,24.29,1
0.6455,0.5433,24.57,0
0.6777,0.5496,6.0,0
0.827,0.643,11.53,0
0.6753,0.3255,48.56,1
0.5832,0.2793,14.22,1
0.3786,0.3316,3.24,1
0.1803,0.4222,9.38,1
0.152,0.6241,11.99,1
0.451,0.593,5.36,1
0.433,0.806,13.23,0
0.1207,0.627,10.53,1
0.6472,0.3877,15.28,1
0.2196,0.288,19.79,1
0.5996,0.689,54.75,0
0.4449,0.6896,14.33,0
0.1437,0.6097,19.6,1
0.3216,0.5354,19.71,1
0.6271,0.6824,6.94,0
0.7644,0.8355,6.9,0
0.1984,0.7333,17.19,1
0.1125,0.7366,12.14,1
0.7529,0.2508,19.84,1
0.304,0.796,15.65,1
0.5959,0.6811,3.6,0
0.4813,0.4053,20.12,1
0.5623,0.3184,4.82,1
0.3271,0.7035,16.5,1
0.7852,0.4684,20.07,0
0.228,0.6041,14.12,1
0.241,0.8271,21.01,1
0.3831,0.7194,6.21,1
0.4086,0.1919,23.53,1
0.2258,0.8401,9.54,1
0.3702,0.4696,25.75,1
0.5042,0.5745,17.08,1
0.83,0.4518,11.41,0
0.402,0.2637,4.13,1
0.3938,0.855,9.52,0
0.2708,0.8192,12.34,1
0.2111,0.3078,16.1,1
0.3221,0.4379,27.99,1
0.1449,0.2598,7.41,1
0.731,0.7009,4.91,0
0.6652,0.401,9.72,1
0.6929,0.5398,23.77,0
0.7304,0.9026,8.78,0
0.3753,0.3156,9.81,1
0.6065,0.8059,37.05,0
0.9757,0.519,17.93,0
0.4893,0.4588,4.18,1
0.527,0.4831,24.07,1
0.804,0.6394,16.83,0
0.4489,0.4572,19.06,1
0.5046,0.608,5.35,0
0.3668,0.8131,20.29,1
0.4375,0.6815,17.98,1
0.0987,0.8471,5.74,1
0.3799,0.7064,24.15,1
0.6591,0.6067,22.02,0
0.4539,0.3796,18.84,1
0.3184,0.3099,13.26,1
0.2214,0.5035,7.71,1
0.6922,0.3343,9.77,1
0.4667,0.7865,16.85,0
0.4258,0.8985,10.17,0
0.9321,0.7837,8.25,0
0.5484,0.5091,15.36,1
0.7805,0.8225,4.8,0
0.576,0.4439,6.37,1
0.4724,0.2815,17.38,1
0.4116,0.3864,14.9,1
0.5494,0.8301,5.88,0
0.5441,0.7525,7.07,0
0.5775,0.4784,13.92,1
0.7343,0.3909,18.77,1
0.8588,0.8978,3.63,0
0.3987,0.3623,5.67,1
0.7167,0.9225,19.57,0
0.4785,0.6334,4.13,0
0.6738,0.6393,4.57,0
0.5118,0.6318,24.84,0
0.3058,0.1485,13.07,1
0.2653,0.6296,7.29,1
0.2701,0.7629,34.84,1
0.7666,0.2868,16.92,1
0.6486,0.6787,11.64,0
0.5536,0.7104,7.41,0
0.6747,0.8516,11.91,0
0.6649,0.4429,14.71,1
0.3611,0.4689,17.98,1
0.6417,0.7331,32.27,0
0.2309,0.8812,13.73,1
0.196,0.5133,12.57,1
0.8398,0.4866,15.72,0
0.262,0.673,9.44,1
0.6554,0.8196,7.74,0
0.3816,0.3333,12.51,1
0.6834,0.4999,10.03,0
0.425,0.6863,10.4,1
0.5233,0.7207,32.22,0
0.3811,0.4079,10.17,1
0.5656,0.4731,13.94,1
0.2607,0.8234,17.65,1
0.2219,0.3951,7.14,1
0.2473,0.6948,12.03,1
0.7271,0.7216,7.14,0
0.3641,0.9354,20.5,0
0.7688,0.591,24.68,0
0.8081,0.6817,8.98,0
0.7532,0.2881,17.18,1
0.6713,0.5158,11.82,0
0.5596,0.7449,19.03,0
0.4992,0.4617,6.71,1
0.6087,0.612,17.22,0
0.4547,0.7444,16.93,0
0.4206,0.5602,12.87,1
0.6096,0.6361,20.23,0
0.7869,0.9264,24.22,0
0.1326,0.4993,31.64,1
0.8448,0.4994,6.4,0
0.2859,0.2323,20.96,1
0.4304,0.426,3.6,1
0.7005,0.7605,16.4,0
0.3301,0.5963,12.5,1
0.9056,0.2459,16.34,1
0.595,0.3331,17.22,1
0.9001,0.5736,6.58,0
0.3422,0.7605,12.16,1
0.2917,0.6834,5.0,1
0.6497,0.841,43.36,0
0.3239,0.7974,15.23,1
0.617,0.4013,5.01,1
0.7174,0.3667,5.31,1
0.5227,0.8138,6.07,0
0.3164,0.6103,9.67,1
0.4238,0.7969,4.38,0
0.8268,0.2938,13.01,1
0.2467,0.538,23.82,1
0.7153,0.4924,25.7,0
0.2903,0.6398,15.32,1
0.144,0.5247,21.46,1
0.7427,0.478,8.4,0
0.9475,0.9037,17.2,0
0.363,0.6755,13.76,1
0.3922,0.8899,24.04,0
0.296,0.8994,22.55,1
0.7173,0.7366,13.5,0
0.5471,0.2928,7.07,1
0.827,0.9144,33.99,0
0.5238,0.4814,21.21,1
0.5482,0.4205,7.19,1
0.7333,0.5952,21.21,0
0.6365,0.68,39.54,0
0.2262,0.944,26.17,1
0.5301,0.7113,8.91,0
0.0538,0.5704,24.99,1
0.1906,0.4809,13.92,1
0.7207,0.3752,8.57,1
0.8537,0.5081,9.27,0
0.3431,0.6232,9.87,1
0.6025,0.6133,21.18,0
0.1883,0.6544,9.25,1
0.6636,0.5801,13.13,0
0.2308,0.6434,17.33,1
0.2771,0.4765,13.05,1
0.9356,0.3971,8.3,0
0.6928,0.666,13.29,0
0.1091,0.8116,14.33,1
0.1307,0.3333,13.73,1
0.6528,0.8248,13.54,0
0.5361,0.6663,12.37,0
0.2866,0.6104,8.69,1
0.496,0.6541,18.04,0
0.0999,0.5026,12.34,1
0.5093,0.3234,9.12,1
